"SGG_NM","BJDONG_NM","AVG(RENT_FEE)"
"서대문구","홍은동",120
"성동구","홍익동",120
"서대문구","홍제동",78.13636363636363636363636363636363636364
"종로구","홍파동",150.375
"강서구","화곡동",69.22222222222222222222222222222222222222
"광진구","화양동",91.4
"중구","황학동",105.714285714285714285714285714285714286
"동대문구","회기동",111
"종로구","효제동",35
"용산구","효창동",157.5
"용산구","후암동",55
"동대문구","휘경동",49.57142857142857142857142857142857142857
"동작구","흑석동",83.48387096774193548387096774193548387097
